Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.08.1997;179.73;15.83;31.95;12.42;20.24;189.33;60.61;48.17;18.05;16;50.62;15.53;2.04;55.81;25.19;128.41;41.67;36.56;24.89;44.91;3906.03
01.09.1997;191.92;16.31;33.85;13.72;23.79;192.64;65.47;56.8;17.34;16.85;53.07;16.97;2.04;56.59;28.38;142.81;43.74;39.42;23.63;42.45;4167.85
01.10.1997;172.89;15.18;29.11;12.61;19.72;179.27;51.86;51.5;15;15.69;53.9;15.25;1.87;47.77;26.41;120.49;38.24;35.05;21.31;36.2;3726.69
01.11.1997;187.74;15.95;31.4;12.61;20.83;187.84;56.08;51.64;16.7;17.1;51.94;18.47;1.59;50.48;26.76;132.25;44.2;34.2;23.21;37.13;3949.14
01.12.1997;209.8;16.3;32.33;13.29;21.27;216.97;56.67;57.98;17.2;19.99;48.18;19.34;1.77;50.43;26.51;162.73;49.34;35.18;21.34;35.74;4249.69
01.01.1998;245.36;15.84;33.06;14.96;23.09;203.79;57.57;54.29;16.45;20.63;50.81;18.58;1.62;50.06;24.98;179.89;52.28;36.91;20.47;36.25;4440.38
01.02.1998;257.29;16.89;36.8;14.62;28.94;201.33;66.73;56.91;17.42;19.87;50.62;20.03;1.75;55.16;27.78;197.53;51.31;36.88;21.28;40.97;4709.83
01.03.1998;255.97;21.03;40.71;15.46;32.34;204.68;76.33;63.54;19.41;21.41;54.2;22.91;2.63;61.64;31.34;192.01;50.87;40.89;21.22;53.69;5102.35
01.04.1998;252.99;20.43;38.4;16.19;31.31;212.06;78.67;63.06;21.28;19.36;58.71;23.86;2.59;56.91;30.89;196.81;46.68;34.68;21.02;54.45;5107.44
01.05.1998;258.49;21.14;41.04;18.58;35.82;221.59;89.82;70.13;22.23;19.13;67.37;27.27;3.11;60.63;36.13;194.53;48.42;38.05;23.41;54.86;5569.08
01.06.1998;275.67;21.92;44.94;19.6;35.89;210.56;90.3;69.67;22.66;19.81;64.36;30.42;2.76;56.95;35.82;215.06;54.61;36.38;21.99;63.61;5897.44
01.07.1998;292.4;20.9;38.83;19.68;33.78;206.84;92.6;63.92;24.33;17.14;55.25;27.78;3.03;55.99;34.3;208.18;49.85;43.63;20.63;56.34;5873.92
01.08.1998;231.9;18.02;31.85;16.02;25.76;156.32;80.9;50.09;21.68;14.51;54.38;24.03;2.52;47.31;26.43;166.55;43.2;37.82;16.44;44.89;4833.89
01.09.1998;237.41;16.18;30.36;15.85;21.14;138.51;71.12;39.4;16.46;14.2;41.59;21.57;2.41;44.78;27.38;179.2;39.65;30.49;13.57;38.86;4474.51
01.10.1998;260.32;17.95;32.38;16.87;22.95;152.6;65.37;47.03;17.95;15.1;44.41;24.12;2.64;41.34;27.48;184.31;45.91;32.9;14.83;39.78;4671.12
01.11.1998;279.8;16.41;33.49;18.92;25.76;171;81.45;47.8;18.5;15.34;47.05;24.46;2.88;44.19;24.47;189.66;45.89;38.97;14.99;44.23;5022.7
01.12.1998;280.03;16.26;33.46;19.6;25.43;161.53;84.11;44.77;18.35;16.27;48.93;25.39;2.8;47.08;24.93;196.22;46.66;35.51;14.51;42.44;5002.39
01.01.1999;289.53;16.25;31.67;20.17;24;157.63;91.7;44.52;18.09;16.73;44.54;20.17;2.68;40.07;23.64;204.49;41.9;40.41;13.62;42;5159.96
01.02.1999;247.49;15.78;30.35;22.5;25.31;153.44;85.15;42.46;19.55;15.51;45.64;24.33;2.9;45.99;24.72;174.81;39.7;37.15;16.9;35.8;4911.81
01.03.1999;252.78;16.95;32.65;22.83;23.35;166.03;80.6;42.55;19.74;15.55;41.59;22.67;2.95;47.52;25.83;177.86;41;39.99;18.19;37.1;4884.2
01.04.1999;270.26;20.73;37.83;21.67;26.08;183.41;93.45;50.19;21.35;16.57;47.19;24.97;3.03;52.55;29.36;180.71;43.3;45.22;20.57;39.75;5393.11
01.05.1999;231.54;18.7;35.29;21;23.48;158.83;83.5;45.99;19.6;17.37;56.68;21.72;2.89;50.13;29.5;154.08;42.1;41.86;18.34;34.35;5069.83
01.06.1999;241.13;21.43;38.02;21.5;25.65;176.51;84;53.97;17.14;18.2;58.89;22.07;3.44;52.19;32.94;170.72;44.89;48.32;21.2;35.85;5378.52
